	dendritic	endothelial	eosinophil	erythroblast	macrophage	monocyte	neutrophil	placenta	tcell	adipose	brain	fibroblast	heart	hepatocyte	lung	mammary	megakaryocyte	skeletal	small	unknown1
sample21	4.0369050382077504e-07	0.016431790005230616	0.21165126763695102	0.0990266135242409	0.10595643173073653	0.04271913243105999	0.19202667671385057	6.505867499836836e-08	0.2019552211458877	8.342693436128253e-10	8.853788557165637e-11	0.025542908438909325	0.0011576284891682766	8.264634881817163e-08	7.607830655331515e-11	0.0032931943349877634	0.002059698586365668	0.004928532659079908	0.09087299838655324	0.002377353522565508
sample22	4.266405913114669e-06	0.13777194742781423	0.1647118032832452	0.027142328886643797	0.022006064285375018	0.08017596998127213	0.36346987149460325	4.627462311530966e-11	0.07149909342046713	9.468930206773774e-06	1.6143775236930612e-09	2.2099817806044904e-12	1.9757245492575814e-07	1.3904992879229106e-07	1.8316421916850367e-05	0.013941448898425622	0.10451860719577369	0.00018539853273922684	0.014545075164912833	1.3854451615088086e-09
sample23	6.782338699580784e-05	0.0983395859687446	0.10818996633316728	0.09942653611627171	0.09258829857218019	0.11984033730209245	0.26394675088858766	0.0010310938998165744	0.06594964334893894	2.5983896043260933e-07	5.152244091136343e-09	0.0009589959798524615	0.0035904918261435866	3.0980383099628537e-09	2.609266582928353e-09	0.003406495178938054	0.09794288795587669	9.527974541581426e-12	0.044716593738404475	4.228795952154544e-06
sample24	9.99486928079705e-05	0.0008847839896765672	0.1859611626122788	0.09744271453486167	0.1623151405550198	0.027281199494096305	0.3532346825633619	0.02454640619476024	0.04520372642904848	7.443396554946928e-08	1.185284258326999e-11	5.769083000582405e-09	4.049654089488531e-05	5.665710448202197e-09	2.9796822657802228e-06	6.711827294609652e-06	0.08076295370406521	8.280355867269326e-19	1.6738711370958682e-07	0.022216839911842225
sample25	0.00010050135479222878	0.08703807557567655	0.12347712891798071	0.0810055834708613	0.022570478151235637	0.3051278070400351	0.2185073311207897	1.076948422538474e-05	0.0014186703703532458	4.133416490609566e-06	2.3725765407996022e-08	0.010270721138326744	0.009466625359705591	1.1801664643687079e-07	6.604856010967071e-07	5.4199202253213e-09	0.0667700659975476	1.0423823723830413e-13	0.07406341051588022	0.00016789043806189033
sample26	9.65102014693979e-05	0.027547760222982123	0.1739186028607152	0.21573718516425963	0.007906333871942629	0.28569092866806733	0.2233795255463085	0.008877469962188335	0.010091800311014075	3.326852278821689e-07	5.066382405404719e-12	6.669472502605249e-07	0.0006844419383196776	0.0013967563446919953	6.018436085206233e-09	0.019274625666745367	0.011474575617705653	0.004575706996297503	0.0014391190079794003	0.00790765196333253
sample27	7.444924127462889e-06	2.4574491601693844e-12	0.1987239794368661	0.0026677840309107938	0.05541348256121218	0.05517359600585167	0.46884728129080483	0.0029423118092239253	0.1886872694380691	1.1767621290507486e-14	3.767676340779603e-12	0.003702846967599587	1.3038467521040957e-13	3.416910039118301e-17	3.114058105148457e-15	0.002471586587445222	0.007554557825496125	1.386620202551816e-14	0.013807857981549366	1.1344593250038927e-09
sample28	1.2558410867472225e-06	0.04510774473591582	0.1906115702691555	0.11062259167124461	0.024662731703006906	0.10247778747134251	0.23642041961609586	0.033582657233010536	0.15884840172381362	2.2566299031716964e-10	4.586603523790771e-12	5.824585175912148e-10	2.5585815999735222e-08	2.861381550457833e-14	2.168161851929218e-13	4.3471958420268116e-10	0.02285323806763836	0.00013358184218751436	0.06655463855116084	0.008123354440852139
sample29	3.7761415771123798e-06	0.01148887809182841	0.217735812762226	0.19776917807179864	0.01731733624142703	0.19103774898749748	0.16918859259310165	0.017216330869913952	0.00877666658162708	2.1258155517326524e-06	3.430805774971015e-11	0.0013087637603832083	2.705776641755668e-06	5.818357038568359e-05	9.8470682495031e-07	0.013857813138377828	0.10564770528237245	4.772399320701079e-11	0.04858739742666178	9.977109107650735e-11
sample30	7.877162029333031e-07	0.04258352302345589	0.18160094540623464	0.025455139828497564	0.009579415477231165	0.1242054430329743	0.24852245299449754	8.389609607256029e-05	0.11194954632567296	1.3717470236337853e-08	4.148082670828557e-11	0.02939145730158091	0.002423728958042458	6.655800581770369e-14	2.174004964782085e-12	2.0619661880217944e-08	0.14043162236299492	2.6498603848224187e-07	0.07555293349076028	0.008218808618889744
sample31	0.00452240227745143	0.03994237499259656	0.08537728042735623	0.05794078994957445	0.05381901453675067	0.11373616597412577	0.4056154133379285	0.0005892405696549766	0.12267641490399532	2.2521955497977103e-06	5.937306354126407e-06	0.00553834478554144	9.041051727602677e-06	2.013239529359544e-09	6.229089837420578e-07	0.00040641944825792247	0.06474160739647687	1.506312753178702e-10	0.04043272291132838	0.004643952862475463
sample32	9.792201872749136e-05	0.11055609008039187	0.08019162611325249	0.08467029472775733	0.0020819387661456515	0.1581779542145428	0.4577613477468624	9.261290445836775e-12	0.012324666498194872	0.02484211515193097	6.32299863067216e-07	1.1424542518274353e-20	2.171436495482353e-07	6.973359419438038e-26	0.00015119908492143599	1.4251590754879857e-09	0.009651288926211428	0.05921066359437026	1.8254253849266974e-08	0.0002820239445042189
